PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
-1.490397854,-0.344051704,0.7894081,0.003128327,0.625322148,-0.119028885,-1.513140682,1.399490117,-0.841453773,1.927583256,-0.091249808,-0.759864102,-1.548248463,0.205389616,-0.364397985,1.160614781,-1.411808769,-0.946467463,1.008025678,-0.208134229,-1.199125292,1.266091665,-0.622981939,-0.33795493,-0.156397331,-0.418250917,1.273302905,-0.559388317,-0.321778049,-0.471581646,0.07725737,-0.271297616,0.346563845,-0.412798877,0.495166817,0.018752834,-0.259365795
-2.637956477,1.614065064,1.44697016,0.010739496,-1.329091794,-0.347477689,-1.794357104,0.079652436,0.590986197,-0.988923554,-0.512775309,0.020523225,0.048826576,0.556834548,-0.327385641,-0.307208423,0.308026742,-0.133316453,0.295752169,-0.181427198,-0.305690438,-0.468377583,0.119146064,-0.904042917,-0.596060827,0.2278941,0.589030951,0.005585796,0.461741256,0.350086975,-0.020831996,-0.471837808,0.156618209,0.005384179,-0.312956529,-0.106677,0.254649089
0.162567307,-3.344183786,-3.603150906,-4.838304071,0.800166331,-1.523786247,2.207491406,-1.396050644,-0.343393467,0.076737878,-1.733086334,0.267480515,0.009783274,0.049481127,-0.474648574,-1.50552451,-0.29927028,-0.42307434,-0.820957324,0.26240361,-0.080824611,0.256357982,0.55101879,-0.116677011,-0.200543229,-0.268697318,-0.058840915,-0.197891125,0.236125191,-0.156404775,0.032224392,0.433606476,-0.04359033,0.437157105,-0.672724758,0.079177797,-0.399215659
-3.671415999,1.352687004,1.66969242,0.07357214,-1.093393179,-0.046254769,-0.160693967,-1.060837125,0.621139004,0.633475509,0.145159764,-0.291196794,-0.357203633,0.393147117,-0.226109177,0.640043267,0.568527688,-0.380097159,-0.023426119,-0.641413918,0.377331708,0.079809,-0.041259441,0.082972293,0.242191004,0.010898283,-0.06832214,0.127020449,-0.006676644,0.216065991,-0.071170538,-0.000749478,-0.165533569,-0.236144952,-0.275388901,0.019915449,0.262282746
-0.743212055,2.34188261,-1.81052997,-3.893775665,-1.865501635,-0.088346523,-1.501119649,-0.125504723,0.122190406,-3.093667048,0.492385758,2.147322465,0.089774383,-0.4987319,0.47016455,0.188544094,-2.058215114,0.504250503,-0.22670008,0.484284274,-0.864022136,0.660272708,-0.182019474,0.795049743,-0.684501545,1.111062502,0.193796994,1.0793087,-0.288041023,-0.416521303,0.32075495,0.392811108,-0.509092994,0.136599695,0.064960581,-0.267309636,0.172146487
-1.146195419,-2.016039246,-2.430095112,0.508926244,4.132643125,0.325952664,0.928945044,-0.817621917,1.971335795,-0.308172571,-0.406559278,0.545024569,-0.183052811,-0.535009856,0.246751255,1.572631527,-0.143383056,0.603065875,-1.562009905,-0.372273335,-0.369022823,-0.664398543,0.015705261,0.013697038,-0.161863802,-0.194633972,-0.35297973,-0.757518663,-0.432696956,0.371614159,0.082315891,1.731570037,0.263440983,-0.042336336,-0.244365567,-0.210188976,0.407770354
5.664208358,-2.837729603,3.638969723,0.501723279,-0.00717053,-1.810075638,-0.012775553,-1.039928796,0.150546926,0.391810337,-0.721813973,0.285011648,1.303932059,0.569182943,0.116348357,-0.504399866,0.794673407,-0.47031065,-0.440187956,-0.411819255,0.225849481,0.427439092,0.435886529,-0.377433772,0.618948604,-0.287227323,-1.132629765,-0.138070196,-0.793914107,0.146594447,-0.506275429,-0.223844583,-0.121591352,0.423735367,0.058805515,0.481151881,0.354534132
0.297830171,-0.955365947,-5.711143432,2.44756539,-3.057490841,0.936192581,-0.511642969,-0.63161473,0.205198855,0.398610164,1.99328039,-1.098709909,-0.283237991,-1.114736001,1.294226761,0.638877022,-1.256482176,1.556098626,-0.232544196,-1.431534291,-0.563250657,0.414793632,0.552826088,0.785402238,0.625145035,-1.378619541,-0.109596796,0.244290967,-0.816058414,-0.286366459,0.122251459,-0.578737997,0.104671387,-0.727588196,0.592161448,-0.149658736,-0.149818
5.990320607,-3.497467191,1.954639937,1.348338495,-0.282377167,0.738263041,0.113747343,0.768444102,1.086744427,-1.159284547,1.214365375,0.407752723,1.284127036,0.460631716,1.27907341,-1.311889397,0.625394834,1.2590131,1.339423701,-0.118958458,1.648840316,-0.040670341,0.84721493,1.055153686,1.236156643,-0.174210161,-0.073445747,0.007432442,-0.824950601,-0.056094903,0.123207211,0.050823546,-0.031838481,-0.050172033,0.0090543,0.408793869,-0.342258069
-0.750483575,-3.0587387,-1.82080518,-0.194645125,3.698737217,-0.385789261,1.533578034,0.610163918,2.316767346,-0.020572294,-0.145587779,1.37160282,-1.33893342,-1.665592277,-1.516521399,-1.586040743,0.811291084,-0.547325205,1.175376072,0.633500459,0.093667355,0.140053628,0.372494807,0.466088128,0.222271191,1.08469506,-0.557044534,0.908677419,0.114599737,0.374808251,0.575440255,-0.355628081,0.08241692,-0.215308702,0.07692025,-0.125918421,-0.135960737
